Name,ID,Content,Comments,Retweet,Likes,ImageURL,VideoURL,TweetURL
Alberta To The Point,ABToThePoint,A few of the great writers from the Post Millennial have started their own news feed called THE NEW TELEGRAPH. I feel very fortunate to have been one of their first interviews.http://www.thenewtelegraph.ca/latestnews/alberta-to-the-point-discussions-on-a-sovereign-alberta-must-involve-albertas-first-nations …,1,3,6,,,https://twitter.com/ABToThePoint/status/1204420491307446272
~ ☼ ☯︎ ❃ mikaila best ~ ☼ ☯︎ ❃,m17bestj,am i the only millennial not on TikTok???? like.........,,3,25,,,https://twitter.com/m17bestj/status/1204125916596703232
A Moon Shaped Fool,lia__clark,"Humans born after the millennial cusp can’t cook... all they know is crumbl cookie, charge they juul, skrrrahh, pap, pap, ka-ka-ka skidiki-pap-pap, be queer, eat avocado & lie pic.twitter.com/m9gW2LtmQJ",1,3,37,https://pbs.twimg.com/media/ELVEccaUEAEGEMZ.jpghttps://pbs.twimg.com/media/ELVEccaUEAQ0BO-.jpg,,https://twitter.com/lia__clark/status/1203943741557338113
Dan  ⭐ ⭐,DannicusTV,Classic millennial breakfast?Avocado toast with a fried egg and topped with pineapple habenero hot sauce pic.twitter.com/3t5WmneMpZ,1,,11,https://pbs.twimg.com/media/ELcNzj1XkAcsbPR.jpg,,https://twitter.com/DannicusTV/status/1204446618226810880
Lawrence Pruitt,lawrencepruitt,"Dear boomer guywhen u treat cust srvc ppl, servers, pharmacists, etc like everything is their fault & they should feel bad for something they can’t ctrl.. it’s crazy u don’t realize how horrible u r beingSincerelyA millennial sitting on his phone at the pharmacy while u go off",2,6,29,,,https://twitter.com/lawrencepruitt/status/1203751460032393216
The Grammar Geek,The_GrammarGeek,"Let’s take it from the top: Millennials are the generation born between 1981 and 1996. The oldest millennials will turn 39 next year. They’ll still be millennials when they retire and when they’re 80 years old. Don’t say “millennial” when you mean “young, inexperienced person.”",2,20,83,,,https://twitter.com/The_GrammarGeek/status/1204390541334654977
Julien Dubois,juliendubois,Working at Microsoft is having some millennial who never contributed one line of code explaining me what is Linux and what is OSS.,15,5,89,,,https://twitter.com/juliendubois/status/1203923802612207616
c,itscourtn3y,Imagine my surprise when I found out I’m not a millennial and I’m in the same generation of my students. pic.twitter.com/0baSQgSW2r,1,,2,https://pbs.twimg.com/media/ELeRtolWsAY9plg.jpg,,https://twitter.com/itscourtn3y/status/1204591642331795456
Umair Javed,umairjav,An inability to feel unreserved happiness for someone else really plagues the Pakistani upper/upper-mid class millennial demographic. Nearly every social/professional relationship seems fraught with some sort of tension and competition. (Probably inherited it from the prev gen),46,74,373,,,https://twitter.com/umairjav/status/1204251707624083456
The Crass Christian,CrassChristian,I recently found out I'm technically considered a millennial. I felt personally attacked.,6,3,27,,,https://twitter.com/CrassChristian/status/1204130749131218950
Lucy,tranceraa,Every millennial hispanic pic.twitter.com/2OmOp0Ok1h,,2,7,,https://twitter.com/i/videos/1204233341442019328?embed_source=facebook,https://twitter.com/tranceraa/status/1204233341442019328
CCFR/CCDAF,CCFR_CCDAF,Via @TWilsonOttawa The idea of picking and choosing guns from a list due to their notoriety shows Canadians this isn’t about public safety; it’s about pacifying the rage mob.https://www.thepostmillennial.com/gun-bans-pandering-to-the-ignorant-mob/ …,21,153,348,,,https://twitter.com/CCFR_CCDAF/status/1204012616294785024
Denise McAllister,McAllisterDen,This inspires me. There are a few websites I think I might look into suing for defamation. Washington Examiner. Mediaite. The Post-Millennial. Maybe I’ll ask Dan about legal counsel. https://twitter.com/prayingmedic/status/1204551342628360192 …,5,13,44,,,https://twitter.com/McAllisterDen/status/1204567345634725888
Alyssa Napuri,AlyssaNapuri,"Jokes that don’t land when you speak to a room filled with GenX and Boomers, “Well I’m a millennial, I’ll never own a home.” pic.twitter.com/rwY8tcx3Gv",4,2,33,https://pbs.twimg.com/media/ELUZnanUwAAWwj2.jpg,,https://twitter.com/AlyssaNapuri/status/1203896644372008960
Blue Jay,that_blue_jay,"haha told a guy in our church about the full time job im super excited to apply for and he goesGuy: How old are you?Me: 23Guy: really? I had a wife, two kids, and was on my second house by 23Me: *laughs in depressed millennial*",3,1,22,,,https://twitter.com/that_blue_jay/status/1203831332771696640
Alanna Hurt,_alannahurt,The real reason millennial aren’t having kids is because they already have dogs  pic.twitter.com/Z8BI6eRBuq,,,3,https://pbs.twimg.com/media/ELdjgIBXYAAr2zm.jpghttps://pbs.twimg.com/media/ELdjgH9WwAImi7j.jpg,,https://twitter.com/_alannahurt/status/1204540833908903936
Ontario Proud,ontarioisproud,And that’s just on Facebook. The union bosses are spending big bucks trying to influence Ontario.https://www.thepostmillennial.com/ontario-high-school-teachers-union-spent-352975-in-facebook-ads-since-june/ …,20,63,86,,,https://twitter.com/ontarioisproud/status/1204234071884341248
arb,grumblepurr,"I feel this, for real. Growing up as a late millennial/early gen Z has left me pretty much hopeless about my future. It really feels like there’s just no way for me to live a comfortable life, and that upward social mobility is nonexistent. https://twitter.com/npr/status/1204296198640881664 …",2,2,13,,,https://twitter.com/grumblepurr/status/1204314860411949056
Rachel Lynn Solomon,rlynn_solomon,NEWS! I'm SO DELIGHTED to announce that my first adult book will be published by @BerkleyRomance in 2021!!!THE EX TALK is a romcom set in the public radio world with: cohosts who think they hate each other NPR jokes millennial angst at least one soundbooth make-out pic.twitter.com/aKHlpmTGIe,359,126,1.6K,https://pbs.twimg.com/media/ELYTfwJU8AADrTB.jpg,,https://twitter.com/rlynn_solomon/status/1204171394516283392
Winston Orozco,WinstonOrozco_1,"America is ready to show the world we have a young gay veteran millennial, @PeteButtigieg to be President of the United States of America & leader of the free world.https://twitter.com/time/status/1204318080471642112 …",1,7,49,,,https://twitter.com/WinstonOrozco_1/status/1204323638318686210
Chad_BB$,BigBruthaSwaggu,"what I hate most about being a millennial is that we’ve adopted this social culture where nothing can be specifically deemed morally or ethically sound, just because everyone wants to just do and say whatever they feel & not be accountable. shit is mind boggling bro...",,1,4,,,https://twitter.com/BigBruthaSwaggu/status/1204169371637211136
Charmboard,Charmboard,She is the millennial saree queen! @MadhuriDixit #StayStarStyled #CharmOn #MadhuriDixitNene #MadhuriDixit #sareelove #TuesdayMotivation,,14,33,,,https://twitter.com/Charmboard/status/1204342478167519232
Jungkook Times ✨,JungkookTimes2,K media headlined “BTS’ #Jungkook Sets A New World Record Becoming The Only Person In The World Who Owns 3 Tweets With Over 2M Likes”“Jungkook has clearly shown his strong power on social media by winning Instagrammer Global Award at the MTV Millennial +http://naver.me/5mpyDxzO pic.twitter.com/nfjUxIeIEw,6,282,629,https://pbs.twimg.com/media/ELZ35-mU8AA_Xs3.jpghttps://pbs.twimg.com/media/ELZ35-lU0Asj6X3.jpghttps://pbs.twimg.com/media/ELZ35-nUcAACVHZ.jpghttps://pbs.twimg.com/media/ELZ35-lVAAAsfld.jpg,,https://twitter.com/JungkookTimes2/status/1204281799322427392
The Millennial Snowflake,Teh_Snowflake,"Broke: Trickle Down Economics.Woke: Piñata Economics. It’s like Trickle Down Economics, except instead of fruitlessly waiting for the wealth to “trickle down,” you beat the rich with a stick, until the money comes flowing out.",,4,12,,,https://twitter.com/Teh_Snowflake/status/1204312968638451712
Launa Sorensen,launasorensen,Funny how “Millennial” always seems to mean teenager. And by funny I mean really annoying. The elder millennials are pushing 40. The youngest are in their 20s. We’re the most diverse generation due to massive shifts in tech and politics. “Millennials today” means nothing.,,2,11,,,https://twitter.com/launasorensen/status/1204373920016519169
ਮਨਵੀਰ,sleepvir,my sister said I look like a millennial pic.twitter.com/W0oowEOgeb,,,8,https://pbs.twimg.com/media/ELYVb2MXUAEL1iF.jpg,,https://twitter.com/sleepvir/status/1204173526351130624
Ed Zitron,edzitron,It is weird that they haven’t cast a person of color as bond yet - especially one who naturally appeals to a millennial audience pic.twitter.com/9kfKPyn0BJ,8,6,144,https://pbs.twimg.com/media/ELcuxCAUUAEfGmj.jpg,,https://twitter.com/edzitron/status/1204482918984192000
Golden Ellah,JSJK_27,Jungkook wins 'Instagrammer Global' title at the MTV Millennial Awards... without having an Instagram account! https://www.allkpop.com/article/2019/06/jungkook-wins-instagrammer-global-title-at-the-mtv-millennial-awards-without-having-an-instagram-account …,,70,142,,,https://twitter.com/JSJK_27/status/1204219386229219328
Seyed Ali Taghva,Ali_Taghva,The Post Millennial editor-at-large Andy Ngo among others have been suspended from Twitter for utilizing Alshamrami’s manifesto or social media excerpts to speculate on his motivation for carrying out the deadly attack. #uspoli #twitterhttps://www.thepostmillennial.com/journalists-suspended-from-twitter-for-reporting-on-pensacola-shooters-motivation/ …,2,56,66,,,https://twitter.com/Ali_Taghva/status/1203858123854876674
Yacob,jakezugel,There’s gonna come a day when kids are gonna be saying “ok millennial” and we’ll probably respond like “that’s fair”,,1,5,,,https://twitter.com/jakezugel/status/1204183545092001792
Holly Jolly JennALT  🌰 🍮 ジェンナァルト,JennALT_01angel,"The doors to his city may be closing soon, but Millennial Tree Cookie is glad everybody was able to stop by! pic.twitter.com/IraxhifDZi",1,7,22,https://pbs.twimg.com/media/ELWpCN7WsAA8dOy.jpg,,https://twitter.com/JennALT_01angel/status/1204054335069528069
Dr. Jane Sancinito,JaneSancinito,"So, I’ve reached peak millennial professor: a student this week brought me an avocado (you know, like give a teacher an apple... just reached into a bag and gave it to me), so I went home, baked some bread, and made avocado toast. #amidoingthisright ?#teacherappreciation ?",,,23,,,https://twitter.com/JaneSancinito/status/1204551475206279169
angsty wine mom,CodySibley,This question is not millennial or gen z friendly pic.twitter.com/hHkMTNJciK,,,2,https://pbs.twimg.com/media/ELdxK2uVUAAJsnr.jpg,,https://twitter.com/CodySibley/status/1204555859902074882
The Independent,Independent,Finland puts everyone to shame by appointing a progressive millennial woman as world's youngest PM https://www.indy100.com/article/finland-election-sanna-marin-prime-minister-aoc-faiza-shaheen-women-9239246 …,8,25,110,,,https://twitter.com/Independent/status/1204499778064666624
Happy Shrekmas  🎄,kaiasher420,noahfence but whichever millennial is running corbyns social can you log off pic.twitter.com/BMdkqRiCBX,1,1,8,https://pbs.twimg.com/media/ELb1hcwU8AACvJO.jpghttps://pbs.twimg.com/media/ELb1hrMU0AEylCH.jpg,,https://twitter.com/kaiasher420/status/1204420104815071233
Justin Smith #Warren2020,JustinSC2020,"From my personal experience as a borderline Millennial/GenZ, @ewarren’s support is likely MUCH higher than this poll indicates. Remember folks, single polls are meaningless. #Persisthttps://twitter.com/ryanstruyk/status/1204494417299755011 …",2,2,11,,,https://twitter.com/JustinSC2020/status/1204520812948213762
@phchitchin,PHCPreston,Well done to Year 11 for organising such a fun 'Millennial' Party! pic.twitter.com/gl0cqVz9uI,,1,7,https://pbs.twimg.com/media/ELcTZPYX0AIJsp7.jpghttps://pbs.twimg.com/media/ELcTZPWXkAUpZ61.jpghttps://pbs.twimg.com/media/ELcTZPbWwAEnsZA.jpghttps://pbs.twimg.com/media/ELcTZPXW4AEbdTF.jpg,,https://twitter.com/PHCPreston/status/1204452782880829441
Seth Rosenberg,SethGRosenberg,"""Tiger"" parenting seems to be a process of creating certain mental illnesses (anxiety, OCD) to avoid more extreme ones (depression) & financial insecurityCurious to see if millennial parenting will find a better system",7,2,37,,,https://twitter.com/SethGRosenberg/status/1204143310006128640
Goldmund,ShamanOfThe,"I've heard this from a lot of women as well.The average millennial guy is passive, weak, and afraid to take what he wants...those are all signs of a person who is going to be pathetic in bed.Confidence is an important trait in a lover...for both sexes. https://twitter.com/CowardToKing/status/1203858236782391297 …",2,3,38,,,https://twitter.com/ShamanOfThe/status/1203860881571868672
MRW,hatablockaz,I’m gonna have pancakes for dinner because I’m a strong independent millennial that don’t need no boomer ass food pyramid to control my life.,,1,9,,,https://twitter.com/hatablockaz/status/1204169916485640200
LeftOfTheDial,EricShapiro3,"Unlike other center-right candidates, @PeteButtigieg is a millennial. He COULD have done what he knew was right & rejected neoliberalism after decades of obvious failure. Instead he chose Wall Street & the donor class. Shame. #WallStreetPete #Bernie2020",1,21,80,,,https://twitter.com/EricShapiro3/status/1204559795262545921
Fiscal Tiger,FiscalTiger,How the 2008 Financial Crisis Affected the Millennial Generation... pic.twitter.com/1XPE5QZKgw,,,,https://pbs.twimg.com/media/ELdOUU7UEAAXeFJ.jpg,,https://twitter.com/FiscalTiger/status/1204517538006106114
TravelPulse,TravelPulse,"This week is our third Millennial Travel Forum, where we’ll be bringing over a dozen top-selling millennial travel agents to the beautiful island of Antigua for a hands-on forum focused on social media and video content. Follow #MTFAntigua and #LoveAntiguaBarbuda for updates!pic.twitter.com/WmnoeHmA66",,4,7,https://pbs.twimg.com/media/ELXi5xeW4AA0Y6v.jpg,,https://twitter.com/TravelPulse/status/1204117983628550146
"Iris Thiele Isip Tan MD, MSc",endocrine_witch,"I’m often asked, how should we teach millennial students? #MedEdpic.twitter.com/gTyufhgJhi",,,21,https://pbs.twimg.com/media/ELYaoS9U4AEj1X1.jpg,,https://twitter.com/endocrine_witch/status/1204179239768952833
