Name,ID,Content,Comments,Retweet,Likes,ImageURL,VideoURL,TweetURL
♆ 𝖏𝖊𝖑𝖑𝖞 ↝ #숩랑단,floofybeomie,is this a gen z thing? pic.twitter.com/jDu1dQEME7,,8,23,,https://twitter.com/i/videos/1204418452124889088?embed_source=facebook,https://twitter.com/floofybeomie/status/1204418452124889088
kas] #강다니엘_사랑해 #WeAreWithDaniel,kasshbrn,"Check put this @danielk_konnect article from idntimes. IDN Times is the leading multi-platform media company for Millennials and Gen ZCaption: #HappyDanielDay If people say, The President of KpopArticle Title: 23rd birthday, This is Why Kang Daniel Deserves to Be Your Idolhttps://twitter.com/idntimes/status/1204276196889882624 …",1,49,58,,,https://twitter.com/kasshbrn/status/1204360978948747266
Viraj & Bird,Avirice,"Handy phrases parents can use for their gen z kids:1. ""Whomst the fucc didn't eat their veggies?""2. ""Ok zoomer.""3. ""That fiscal responsibility thicc tho.""4. ""Studying regularly is big mood.""5. ""I love you.""",,2,13,,,https://twitter.com/Avirice/status/1204254159341404160
tin d-34,rapperhyuka,"only soobin took a photo with hueningkai so hueningkai decided to edit in the other members instead,, the gen z mindset & humor he has  pic.twitter.com/BMXpMihSe2",7,216,539,https://pbs.twimg.com/media/ELGf7b6U4AELjuF.jpghttps://pbs.twimg.com/media/ELGf7zmU0AAFiNA.jpghttps://pbs.twimg.com/media/ELGf70_VUAARXIz.jpg,,https://twitter.com/rapperhyuka/status/1202918431223271427
karl marc’s ®️,Chuck__K,can’t fucking wait until gen z are our overlords https://twitter.com/classiclib3ral/status/1204052000339615745 …,,5,31,,,https://twitter.com/Chuck__K/status/1204166272046501890
"𝒹𝓊𝓂𝒷 𝒷𝒾𝓉𝒸𝒽, attorney at law",sheriffdumbass,The generation of millennials and gen z that was conditioned by tumblr growing up to be anarchists and socialists is great because I’ll read shit like “Violently resist fascists in mass demonstrations unless you can’t because crowds give you anxiety which  is  valid  :3!”,,2,19,,,https://twitter.com/sheriffdumbass/status/1204554487375028226
David Wessel,davidmwessel,6 in 10 working-age Americans haven’t even seen inflation above 4 percent. A quarter of them haven’t even seen a sustained stretch above 3 percent.https://www.washingtonpost.com/business/2019/12/10/how-gen-x-millennials-gen-z-became-low-inflation-generations/ …,2,19,26,,,https://twitter.com/davidmwessel/status/1204456170838204416
goddess,madamluvy,Y’all do know the oldest Gen Z people are only 22. Like half y’all issues in this hashtag need to be taken up with millennials.  #APleaToGenZ,17,140,1.2K,,,https://twitter.com/madamluvy/status/1203323241261084674
cabbage,pahtch,maybe its the meds talking but what if ur baby inherits ur tattoo like a birth mark lmao imagine a gen z with a butterfly lowerback birthmark holyshit haha,,13,146,,,https://twitter.com/pahtch/status/1202560962122801159
Emily Zanotti,emzanotti,"Guys, three years in, Cosmo finally discovered that Lenny Bruce, the “Mrs. Maisel character” was a real person. This miiiight be why Millennials and Gen Z aren’t super clear on what “free speech” actually means. pic.twitter.com/x4oFlc6bIr",45,101,437,https://pbs.twimg.com/media/ELd0L0NW4AAmPI0.jpg,,https://twitter.com/emzanotti/status/1204559176648790016
alec,alec_that,i want led lights in my room so i can finally reach gen z twitter gay level,,3,14,,,https://twitter.com/alec_that/status/1204552432606334976
Amnesty International,amnesty,"Climate change was most commonly cited among most important issues facing the world, in survey of 10,000+ young people. It's a wake-up call to leaders that must take decisive action to tackle climate emergency or risk betraying younger generations further.http://amn.st/60161p65O ",8,93,178,,,https://twitter.com/amnesty/status/1204356837455339520
CRYPTY,cryptygirl,"Crypto video memes and other cool stuff incoming! Oh no, Gen Z is here... pic.twitter.com/7dK71KErgr",2,,8,,https://twitter.com/i/videos/1203161632299335681?embed_source=facebook,https://twitter.com/cryptygirl/status/1203161632299335681
(ᵔᴥᵔ),reisarus,"my cousin is posting ""i only listen to music from the 80s/90s unlike my pleb gen z peers"" memes again and it makes me wanna reply to her like this pic.twitter.com/ObBkd0KzWQ",,2,5,https://pbs.twimg.com/media/ELSf8yIUwAE5WP5.jpghttps://pbs.twimg.com/media/ELSf8yFVUAEXsQk.jpg,,https://twitter.com/reisarus/status/1203762872586661889
Josh Kraushaar,HotlineJosh,"""Members of Gen Z may find themselves less familiar with the accumulated wisdom of humanity than any recent generation, and therefore more prone to embrace ideas that bring social prestige within their immediate network yet are ultimately misguided.""https://www.theatlantic.com/magazine/archive/2019/12/social-media-democracy/600763/ …",8,38,62,,,https://twitter.com/HotlineJosh/status/1204078092601503746
ً,ssoogyu,taehyun is right there but he’s watching them on his phone this is gen z pic.twitter.com/37oOpVcecb,4,270,1.0K,https://pbs.twimg.com/media/ELL3ZY_XsAE-RYf.jpg,,https://twitter.com/ssoogyu/status/1203296072585666561
Harper's Bazaar,harpersbazaarus,Gen Z wunderkinds @kiernanshipka and @YaraShahidi talk with National Youth Poet Laureate Kara Jackson about what it means to come of age in the first year of the new decade.https://www.harpersbazaar.com/celebrity/a29663492/kiernan-shipka-yara-shahidi-interview/ …,2,52,379,,,https://twitter.com/harpersbazaarus/status/1204028319970316290
y/n / 𝕰𝖗𝖔𝖘,OUTROW1NGS,#APleaToGenZ is stupid as hell.1) a good portion of gen z are still in high school2) all the past generations are the ones that fucked things up yet feel like they have the right to fix things3) y’all still can’t tell the difference between gen z and millennials,29,240,1.7K,,,https://twitter.com/OUTROW1NGS/status/1203337191054827522
Diya Mishra,thedimishra,"I absolutely DESTROYED my ~cool music, gen z, composition major brother’s Spotify results and I’m dying laughing. All the “Top Songs” are mine  pic.twitter.com/y5kyYmL8oC",25,47,1.5K,https://pbs.twimg.com/media/ELC7tORVAAE_dHT.jpghttps://pbs.twimg.com/media/ELC7tORUwAE2azv.jpg,,https://twitter.com/thedimishra/status/1202667493048762368
gl1tchy  🎢 💤 💙,blessdpunk,"as the oldest, i rule over gen z with an iron fist there will be no ""JUUL VAPING"" in my presence. do i make myself clear? u will hav too much weed and get so paranoid u cry just like we used to do it",1,1,16,,,https://twitter.com/blessdpunk/status/1204188636729815041
Hamish Taylor,HamishTaylor31,"I know the Green vote tends young but the fact that *37%* of 18-24s voted Green at the last election is just amazing, how good are Gen Z  #auspolpic.twitter.com/9EAn1BWTay",33,55,205,https://pbs.twimg.com/media/ELS0YB3U0AAmDvg.jpg,,https://twitter.com/HamishTaylor31/status/1203785330127601664
Minthyuk  ✨ JUJU DAY!!  🎉,stk_mxd6,if you were born before 1996 you are a millennialif you were born after 2005 you are gen zif you were born in between then you are a MONSTA X STAN I'm sorry I dont make the rules,62,654,1.9K,,,https://twitter.com/stk_mxd6/status/1202789283729330177
⋆:･ﾟ𝖼𝖺𝖿𝖿𝖾𝗂𝗇𝖺𝗍𝖾 𝖽𝖺𝗂𝗅𝗒,caffestay,"you know how younger generations are stereotyped superficial, lazy, and addicted to tech? well stray kids has members from millennial to gen z, BUT are incredibly hard working, humble, and impact millions around the world through the internet and their music. take that boomers.",1,18,45,,,https://twitter.com/caffestay/status/1204145069319548929
ON STRIKE!!!: #COLA 4 UCSC,bananaslums,gen z support coming in faster than billie eilish's success babyyyyyyyy #vibecheckthewagerelationhttps://twitter.com/nopalshawty/status/1204151182622674944 …,1,7,33,,,https://twitter.com/bananaslums/status/1204171864647467008
Alice  🧢,mise_alice,I’m a Gen Z college student who was also disengaged with politics. But now I’m learning about my community and world outside of the superficial image the media displays. I believe in a better world that includes the work of everyone. I support @AndrewYang. Pass it on! #YangGanghttps://twitter.com/zoimaker/status/1203626565935828992 …,,27,83,,,https://twitter.com/mise_alice/status/1203754877140099072
lindsey,ThisBitchLindz,Why am I the only gen Z’er that forgot to lose the habit of typing two spaces after a period. Who taught me this shit??? I am actually 70 years old,,,5,,,https://twitter.com/ThisBitchLindz/status/1204594949636771840
Laura Oris-Naidenova,lauraaoris,I'M GONNA WRITE A THINK-PIECE ON HOW GEN Z HAS USED TECHNOLOGY TO CHANGE THE COURSE OF COMEDY BY BEING THIS CREATIVEWe don't get enough credit for being able to manipulate language this subtly to be able to come up with this stuff https://twitter.com/ULTRAGLOSS/status/1203711864389226496 …,,2,12,,,https://twitter.com/lauraaoris/status/1203812476250406914
 🕊 ✨,lainesumer,"welcome to the world of gen z, baby pic.twitter.com/W9bzZxeOOO",,2,4,,https://twitter.com/i/videos/1203744248283054080?embed_source=facebook,https://twitter.com/lainesumer/status/1203744248283054080
��𝓲𝓬,Nicole_I_Doyle,Today this YN2 was asking if hes in GENZ and I asked when he was born. 2000 was his answer So basically my supervisor is a child. pic.twitter.com/0eqp7YUYNN,,,2,,https://twitter.com/i/videos/1204576277270843392?embed_source=facebook,https://twitter.com/Nicole_I_Doyle/status/1204576277270843392
✰ 𝖘 ✰,sarucii_,madison beer is like gen z megan fox,1,5,23,,,https://twitter.com/sarucii_/status/1203157040056717312
Megan Coakley,TheLoneWoman,"Hello, I’m a first year Gen Xer. I graduated high school in 1982. My college friends died from AIDS. I was in rehab at age 23. I’m happy to be alive. Keep going, Milennials and Gen Z. Fuck the old people and what they think. https://twitter.com/karnythia/status/1203702626455412736 …",,2,5,,,https://twitter.com/TheLoneWoman/status/1203911701114114048
╰☆☆ⓖⓔⓝ_ⓩ☆☆╮,__tactic__,"when i was still staying with my mama, i would legit wake up in the midnight and watch her sleep just to see if she's still breathing .",21,40,181,,,https://twitter.com/__tactic__/status/1204495278927228928
big little my,jocelynlane_,just found out u have to be hot and have friends to be famous in the gen z world pic.twitter.com/BR0AUazNx2,,1,10,,https://twitter.com/i/videos/1204217423467032577?embed_source=facebook,https://twitter.com/jocelynlane_/status/1204217423467032577
��𝖆𝖓𝖎𝖙𝖆,yang2isgod,He's truly a gen z pic.twitter.com/kLErhzDTfq,,3,6,,https://twitter.com/i/videos/1204213561284857858?embed_source=facebook,https://twitter.com/yang2isgod/status/1204213561284857858
Sophie Jackson,sophabulous99,Realizing you have money you can transfer from your venmo balance is the gen z equivalent of finding money in the couch cushions,,1,6,,,https://twitter.com/sophabulous99/status/1203686567086194688
esenko,707blanco,"Can't wait for the day my child says ""okay gen Z'er"" to me",1,4,16,,,https://twitter.com/707blanco/status/1203050329975205888
FEB 2020 ♡ 仁D,renduckie,wow so ur telling me after all these years i have to succumb to gen Z pressure and download tiktok for nct dream,3,18,138,,,https://twitter.com/renduckie/status/1202921853007740928
Megan Burns,meganburns024,Awe this lady would of killed herself if grew up with Gen Z. Slap Ass Friday was a religious practice of my middle school  but we’re the snowflakes  https://twitter.com/wsavalexb/status/1203372986948112391 …,2,2,4,,,https://twitter.com/meganburns024/status/1204025894773444608
Julissaaa,julissauriarte,SOMEONE COMMENTED GEN Z AT ITS PEAK LMAOOOO pic.twitter.com/i6MSZu3D6r,,2,3,,https://twitter.com/i/videos/1204141438067281921?embed_source=facebook,https://twitter.com/julissauriarte/status/1204141438067281921
alexis nedd,alexisthenedd,the most realistic thing about the ghostbusters trailer is a classroom full of gen z kids having no idea that ghosts raided manhattan in the 80s and giving zero shits about the excited gen-x white dude telling them what -he- was into as a kid,15,70,546,,,https://twitter.com/alexisthenedd/status/1204121366540226561
montie,montiehiser,"i’m doing my research project on how the westernization of astrology has made its credibility decline,,, if that’s not the most gen z headass bullshit i could be writing about",,1,5,,,https://twitter.com/montiehiser/status/1203900830119628801
AMANASA,AmandaBuettner_,being gen z and calling off of work pic.twitter.com/zzVf0imikC,1,2,9,https://pbs.twimg.com/media/ELMCZdfX0AIFpyK.jpg,,https://twitter.com/AmandaBuettner_/status/1203308165166587904
ava,bronxbombrs,boomers: didn’t kiss until like the sixth dategen z: hey do you want comprehensive list of my kinks,2,3,17,,,https://twitter.com/bronxbombrs/status/1203850736880275457
David Broermann,_DavetheDave,My GF just wrote “@ Savannah” on the Christmas gift she got her sister and GEN Z MUST BE STOPPED!,,1,8,,,https://twitter.com/_DavetheDave/status/1203696060297818113
Imran S  🌐 🐙,AsiaAnalyst47,"It’s the year 2050.  After being publicly cancelled over  unfollowing the Indian PM on Instagram, the first Gen Z President of the United States releases a 10.5 minute YouTube video titled ‘im sorry’. “I was in a dark place”, he admits. The video still has ads up.",,4,18,,,https://twitter.com/AsiaAnalyst47/status/1204076591984168960
merry chrispatz,emmaspatz,the downfall of republicans is what will bridge the Boomer gen Z gap pic.twitter.com/tiUScbXwVj,,2,15,https://pbs.twimg.com/media/ELOSuOvWsAAjwn_.jpg,,https://twitter.com/emmaspatz/status/1203466854125178880
♡ stream 24/7 pwease ♡,izzeehh,e-boys and e-girls are just gen z scene kids and bandom people,1,8,59,,,https://twitter.com/izzeehh/status/1202610426460004355
Mix Web Shop,mix_web_shop,"In the minouette shop: OK Boomer Beanie Hat, Okay Boomer Toque, #OKBoomer Knitted Sock Cap, Gen Z Winter Ski Hats, Millennial Knit Beanies, Embroidered Wool Chook by MixWebShop at https://ift.tt/36zhQ4m pic.twitter.com/cnRfz6QZtq",,,,https://pbs.twimg.com/media/ELezPc3WoAEzMQj.jpg,,https://twitter.com/mix_web_shop/status/1204628504559673345
ungrateful zoomer,plasticpaperbak,Karma’s a bitch when you violate human rights :( #forever21 #fastfashion https://huntnewsnu.com/60777/lifestyle/forever-21-fails-to-adapt-to-increasingly-conscious-gen-z-consumption/ …,,,,,,https://twitter.com/plasticpaperbak/status/1204624196946382849
 ✨genz ✨,genz_42,(Stolen)Where do you think I am???pic.twitter.com/0LDxJBAY9R,2,,2,https://pbs.twimg.com/media/ELdgI0kWkAAQU_G.jpg,,https://twitter.com/genz_42/status/1204537131848413184
NiiTrOGenz,NiiTrOGenz,Making $1 - $2 banners if interested HMU and I’ll make them custom.pic.twitter.com/uew7OvcCEx,,1,3,https://pbs.twimg.com/media/ELb8gZFX0AEgM11.jpghttps://pbs.twimg.com/media/ELb8gZnX0AA7p-1.jpghttps://pbs.twimg.com/media/ELb8gZnWoAEoCqi.jpghttps://pbs.twimg.com/media/ELb8gaVWwAANwI2.jpg,,https://twitter.com/NiiTrOGenz/status/1204427594520813568
"aubrey plaza stan, stacy’s father",gen_z_katie,rn’s vibepic.twitter.com/vzaigNTjIN,,,4,https://pbs.twimg.com/media/ELZ8iuSU8AA4_tN.jpg,,https://twitter.com/gen_z_katie/status/1204286890397990912
Christoph Genz,CGenz13,#ChristmasIsComing this Friday to #UWC Changshu China! Great #lineup of #performance by #Students #orchestra #bigband #choir and so much more #uwclearn #education #studentlifepic.twitter.com/9sVUT6JzZJ,,,4,https://pbs.twimg.com/media/ELZe1u5UYAE44YR.jpg,,https://twitter.com/CGenz13/status/1204254236529160192
Genzy  🥀,anj_genz,YAY YAY YAY YAYpic.twitter.com/SUnaRH07DG,,,2,https://pbs.twimg.com/media/ELZb7rpU4AU5Odp.jpg,,https://twitter.com/anj_genz/status/1204251050531794944
 ✌🏼BOBBY MCCOY ✌🏼,iambobbymccoy,its the gen z auteur bitch pic.twitter.com/OwABNiL0bJ,1,,8,https://pbs.twimg.com/media/ELZQSMLU4AIuBf3.jpg,,https://twitter.com/iambobbymccoy/status/1204238232029806592
Gen Z Icon,ShesChey_,But I’m happiest when I can buy what I want... get high when I want,,10,17,,,https://twitter.com/ShesChey_/status/1204171495280447500
Genzy  🥀,anj_genz,my mom really roasted me... in the comments section of a decent photo i posted on social media nANAY BAKET?????pic.twitter.com/CkkYJxscTn,,,13,https://pbs.twimg.com/media/ELWaXfQU4AA0j_v.jpg,,https://twitter.com/anj_genz/status/1204038233887105025
Genzy  🥀,anj_genz,you’re so pretty but damn yOU ARE SO EXPENSIVEEEEE pic.twitter.com/YGGfL6oDdE,,,2,https://pbs.twimg.com/media/ELWWMojU8AAbU7i.jpg,,https://twitter.com/anj_genz/status/1204033628289691648
Julia Macfarlane,juliamacfarlane,My gen Z brother has never ever heard Blue Monday. He said “I don’t know anything from the 70s”. This pains me,21,8,200,,,https://twitter.com/juliamacfarlane/status/1203793843495329792
"aubrey plaza stan, stacy’s father",gen_z_katie,mom: the food isn’t that hot just eat it.the food:pic.twitter.com/iQ3sQa44cH,,,4,https://pbs.twimg.com/media/ELQixTIVUAEEpXQ.jpg,,https://twitter.com/gen_z_katie/status/1203625233938149376
kj 🧜‍♀️,kaitmechelle,how it feels to be part of gen z but born in ‘97 pic.twitter.com/sNlFZ94eNd,,,13,https://pbs.twimg.com/media/ELNQOxbX0AUkwx9.jpg,,https://twitter.com/kaitmechelle/status/1203393743455432706
Shru  🖤 kinda ia,soft_dnp,"""what does a karen meaaan"" awww my little gen z heart pic.twitter.com/27rAKqYue0",,,11,,https://twitter.com/i/videos/1203377420121726976?embed_source=facebook,https://twitter.com/soft_dnp/status/1203377420121726976
Rach  💖 💜 💙,Unoticed_Fander,Boomers: This Generation Is So Sensitive These Days! Maybe If They Didn’t Look At Their Cellphones All Day-Millennials And Gen Z: Ok BoomerBoomers: pic.twitter.com/U1mRM4uJ7M,,,4,https://pbs.twimg.com/media/ELMhK2dWoAEIL53.jpg,,https://twitter.com/Unoticed_Fander/status/1203341999048462337
Paco  🏳️‍🌈 🎄,PacoBell___,napkins for the millennial/GenZ market pic.twitter.com/rFTw1i8vcA,,,6,https://pbs.twimg.com/media/ELMHGUnVUAAv0yy.jpg,,https://twitter.com/PacoBell___/status/1203313353604493319
Gen Z Planet,GenZplanet,"When it comes to #GenZ, expected the unexpected! pic.twitter.com/5YYoscAiTw",1,2,21,https://pbs.twimg.com/media/ELKG7wSXsAAd-an.jpg,,https://twitter.com/GenZplanet/status/1203172415725015041
B.O.B.,Denistamine,gen z attacking me in my insta dms pic.twitter.com/JlxLbSL4f3,,1,2,https://pbs.twimg.com/media/ELJPz2nX0AI830i.jpg,,https://twitter.com/Denistamine/status/1203111807747006465
Generation Z Endeavours,GenZEndeavours,Thank yourself today. You did great!,,2,3,,,https://twitter.com/GenZEndeavours/status/1202550724049043456
Gina Theresa  🍂,AshesThanDust,Millennial and Gen Z humor is the best humor don't @ me. pic.twitter.com/yN6BixWXit,,,4,https://pbs.twimg.com/media/ELYPGvDVAAAndwa.jpg,,https://twitter.com/AshesThanDust/status/1204166564376805376
The Black Jeep of the Family,DeanHommel,Huh well shit I guess I’m the start of Gen Z then.... (1995)                                pic.twitter.com/5WIDHZ7TAC,5,,1,https://pbs.twimg.com/media/ELW6-9IXUAAMLwW.jpg,,https://twitter.com/DeanHommel/status/1204074080347004928
Heineiral,DelacruzGenz7,Ankle+Alley oop=@jrzmonespic.twitter.com/7ryjifTptj,,17,45,,https://twitter.com/i/videos/1203963769556045826?embed_source=facebook,https://twitter.com/DelacruzGenz7/status/1203963769556045826
matty healy fan account,frueh_josh,this is why people hate gen z kids. ever heard of a world war? pic.twitter.com/IKoJibr83H,,,2,https://pbs.twimg.com/media/ELT-VafWoAAv3hW.jpg,,https://twitter.com/frueh_josh/status/1203866650065416194
Gen Z Yoda,ivannstudios,Oldest vs youngest coachpic.twitter.com/rAmQuZ6aK0,,,,https://pbs.twimg.com/media/ELT2rbRUYAIAlUd.jpg,,https://twitter.com/ivannstudios/status/1203858237532958721
 ✨genz ✨,genz_42,Yeah. This whole thing basically describes me...pic.twitter.com/4Pm6VoQ8fv,2,,2,https://pbs.twimg.com/media/ELTsC0UWoAA6mZn.jpg,,https://twitter.com/genz_42/status/1203846538860138496
Jane,Jane89048022,"AWAE FANDOM! Moira said demographic was part of the problem networks won’t pick up the show. Please reply with your age! If you don’t want to expose it, say if you’re GenZ, millenial, GenX, boomer or other #renewannewithane let’s show if their numbers are correct",372,180,491,,,https://twitter.com/Jane89048022/status/1203126327009841155
Cass,cassiecareen,boomer humour: i cheat on my wife! ha! millennial/ gen z humour: pic.twitter.com/V95OLWOmUF,,,3,https://pbs.twimg.com/media/ELIXC_9W4AAbGeS.jpg,,https://twitter.com/cassiecareen/status/1203049396981706752
Psycho Kitty Chick YT,EmilyAd23931539,"Stop calling the Gen Z’s Millenials, boomers! pic.twitter.com/UKcG4PZ88e",,,,https://pbs.twimg.com/media/ELHV6dhX0Ac5Td8.jpg,,https://twitter.com/EmilyAd23931539/status/1202977785922433024
katie chao,katiechao02,nobody:gen z: pic.twitter.com/xqJDE7p7Da,,,2,https://pbs.twimg.com/media/ELE-V73U4AArFGI.jpg,,https://twitter.com/katiechao02/status/1202811126141947905
"aubrey plaza stan, stacy’s father",gen_z_katie,i am a proud finn wolfhard stan.pic.twitter.com/uaTDgkbgPo,,,3,https://pbs.twimg.com/media/ELAM77UUcAAl2C4.jpg,,https://twitter.com/gen_z_katie/status/1202475327479373824
choire,Choire,"i black out when you put a mic in front of me, no clue what’s on this podcast and i’ll never find outhttps://digiday.com/podcast/new-york-times-choire-sicha-style-generations/ …",17,5,266,,,https://twitter.com/Choire/status/1202416307616075777
Generation Z Endeavours,GenZEndeavours,You are whatever you think you are. Try to flip negative self-talk into positive self-talk today.,,2,5,,,https://twitter.com/GenZEndeavours/status/1202395568015728640
julia,septicjpeg,i stan a gamer who gets gen z culture pic.twitter.com/qmtv24yACf,185,3.4K,21K,,https://twitter.com/i/videos/1202374933248118784?embed_source=facebook,https://twitter.com/septicjpeg/status/1202374933248118784
Web Smith,web,Importance of Spotify in a tweet: Millions of young millennials and older Gen Z’ers just discovered Jay Z’s discography today.,14,17,216,,,https://twitter.com/web/status/1202366352406798337
GRiFF RaFF,scottgriffinftw,Some random boomer on twitter: I paid for college myself waiting tables and cutting lawns. Pick yourself up and stop expecting handouts lazy Gen Z’ers. Me: pic.twitter.com/HglbuOVj4g,,,8,https://pbs.twimg.com/media/EK-cENtXsAYdzXy.jpghttps://pbs.twimg.com/media/EK-cEN_XkAAnzEi.jpg,,https://twitter.com/scottgriffinftw/status/1202351228509806592
╰☆☆ⓖⓔⓝ_ⓩ☆☆╮,__tactic__,who else doesn't like going to school on the first week of resumption ??,94,288,1.1K,,,https://twitter.com/__tactic__/status/1204007795835768832
╰☆☆ⓖⓔⓝ_ⓩ☆☆╮,__tactic__,"Just bringing this back to the TLThe transition is just le-gen-dary, OMFG!!  pic.twitter.com/BzpftftgXu",56,478,865,https://twitter.com/5fc55319-3976-4473-ba7c-02f8200f049a,https://twitter.com/i/videos/1203917079071645696?embed_source=facebook,https://twitter.com/__tactic__/status/1203917079071645696
Constantly Biaswrecked #ItsYouinKL,GenZ_Trash,I know that this is a bit late but thank you so much @SueService for the giveaway pic.twitter.com/SNb5L7b6Ax,,,2,https://pbs.twimg.com/media/ELQ5fEuU8AEf8Hj.jpg,,https://twitter.com/GenZ_Trash/status/1203650214499717120
Hutch,hutchinson,"Gen Z and younger, take a good hard look at what previous generations did. Then do the opposite of that. Anyways enjoy your Saturday evenings.",17,31,491,,,https://twitter.com/hutchinson/status/1203468312778162178
salva Genz,salvagenz,Momentspic.twitter.com/zLBEG8rWGV,,,1,https://pbs.twimg.com/media/ELN6mjJWoAEO4Bn.jpg,,https://twitter.com/salvagenz/status/1203440340117708802
I’M_GAY,sxmcrxz,Boomers asking GenZ to do better and Etc...  #APleaToGenZ GenZ :  pic.twitter.com/xiIG6Lb0ms,,,13,,https://twitter.com/i/videos/1203410970728652801?embed_source=facebook,https://twitter.com/sxmcrxz/status/1203410970728652801
Genzman Sci/Math,GenzSciMath,Science Olympiad in action today!pic.twitter.com/Pc9IqnjhEh,,1,5,https://pbs.twimg.com/media/ELNXE8-WoAEr82B.jpghttps://pbs.twimg.com/media/ELNXE88WoAAcfLb.jpghttps://pbs.twimg.com/media/ELNXE88WoAMQYvH.jpghttps://pbs.twimg.com/media/ELNXE9HWsAAmQwx.jpg,,https://twitter.com/GenzSciMath/status/1203401608622739456
jaundice babe,Burns7Dylan,ok i think i’m done with gen z absurdist humor can we go back to this now pic.twitter.com/DLMAaSMjZT,1,,7,https://pbs.twimg.com/media/ELJecEnWsAAIWFT.jpg,,https://twitter.com/Burns7Dylan/status/1203127891111956480
SKINCARE SHAGGY,SHANESTWEETS_,in a gay bar full of older gays at least 40+ where my gen z babes at pic.twitter.com/mmp0k1JohR,4,1,66,https://pbs.twimg.com/media/ELJbIwOXUAAOZha.jpg,,https://twitter.com/SHANESTWEETS_/status/1203124260119752704
genz,genieeinabottle,me waiting for my spotify wrappedpic.twitter.com/GeMgH2d3cb,,,6,https://pbs.twimg.com/media/EK-hp_3UYAAw3Ur.jpg,,https://twitter.com/genieeinabottle/status/1202357372041121792
 ✨genz ✨,genz_42,"Guys, I have a problem...pic.twitter.com/x0J2CD7Sau",3,,9,https://pbs.twimg.com/media/EK9lJqpXkAI1ddf.jpg,,https://twitter.com/genz_42/status/1202290844751060993
sean,tdcmagic,the fact that txt is a gen z group makes them that much more funny to us bc we all have the same horrible humor,4,186,629,,,https://twitter.com/tdcmagic/status/1202269706905894912
‎izzy,jjkmoonchiId,gen z in one picture pic.twitter.com/Ii5WSHA8bJ,5,135,571,https://pbs.twimg.com/media/EK88Fx6W4AIDaHr.jpg,,https://twitter.com/jjkmoonchiId/status/1202245699590639616
