Title,Author,Description,Article_Link,Cited_by,All_versions,Related_articles_Link
[BOOK][B] Baby boomer health dynamics: How are we aging?,AV Wister - 2005 - books.google.com,Are the baby boomers in Canada more or less healthy than previous generations? What are the implications of this for the national health care system? Baby Boomer Health Dynamic responds to the growing interest in the generation that makes up over one-third of the …,https://books.google.com/books?hl=en&lr=&id=bqYaXGvsZrEC&oi=fnd&pg=PR11&dq=boomer&ots=BLADFyAnvH&sig=X9jNAgYtclVczc8c6_GzULxACZo,76,4,"https://scholar.google.com/scholar?q=related:6iRD7cQAZuoJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[BOOK][B] Turning silver into gold: How to profit in the new boomer marketplace,M Furlong - 2007 - dl.acm.org,"Abstract “Mary is an evangelist who has been selling the dream of the boomer/senior market for over twenty-five years. She understands the customer segment better than anyone, and this book reflects her insight.”-Guy Kawasaki, Managing Director, Garage Technology …",https://dl.acm.org/citation.cfm?id=1406136,57,2,"https://scholar.google.com/scholar?q=related:rMpqjT2xG3YJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"A comparison of X, Y, and Boomer generation wine consumers in California","MMG Wolf, S Carpenter… - Journal of food …, 2005 - ageconsearch.umn.edu",This research shows that the wine market in the California is segmented by age. The wine-consumption behavior of the California wine consumer differs between the Generation X consumer and those in Generation Y and Baby Boomers. There are differences in …,https://ageconsearch.umn.edu/record/26724/,72,11,"https://scholar.google.com/scholar?q=related:DsS05bYAeFAJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Canadian Alzheimer's disease caregiver survey: baby‐boomer caregivers and burden of care,"SE Black, S Gauthier, W Dalziel… - … journal of geriatric …, 2010 - Wiley Online Library","Objective Alzheimer's disease (AD) burdens not only the person, but also the person's caregiver (s). This burden has been linked to negative health effects for caregivers. To that end, a survey of Canadian caregivers of persons with AD/other dementias was conducted to …",https://onlinelibrary.wiley.com/doi/abs/10.1002/gps.2421,77,6,"https://scholar.google.com/scholar?q=related:UrPg2p32XQEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"[BOOK][B] Civic engagement and the baby boomer generation: Research, policy, and practice perspectives",L Wilson - 2012 - taylorfrancis.com,"Although the United States is a stable constitutional democracy, worries about the condition of US civic life are widespread. Scholars, elected officials, and ordinary citizens are concerned about the apparent weakening of civil society as well as documented declines in …",https://www.taylorfrancis.com/books/9780203047521,81,6,"https://scholar.google.com/scholar?q=related:e9eiLTsFgxUJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"[CITATION][C] Rich Boomer, Poor Boomer","M Hamilton, C Hamilton - 2006 - The Australia Institute, Sydney",,,28,4,"https://scholar.google.com/scholar?q=related:9qUX_MG3JGcJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Behavioral determinants of healthy aging: Good news for the baby boomer generation,"PE Hartman-Stein, ES Potkanowicz - Online Journal of Issues in Nursing, 2003 - Citeseer","The first of the Baby Boomer generation will officially enter the beginning of old age in 2011 by turning 65. Recent research findings suggest that if the members of this cohort group engage in certain healthy behaviors and thought patterns in their middle years, they will …",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.454.6856&rep=rep1&type=pdf,81,9,"https://scholar.google.com/scholar?q=related:m7ylt8_6zd0J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Baby boomer nurses bearing the burden of care: A four-site study of stress, strain, and coping for inpatient registered nurses.","SR Santos, CA Carroll, KS Cox, SL Teasley… - The Journal of …, 2003 - europepmc.org","OBJECTIVE: Because today's nursing workforce faces a multitude of stressors, the objective of this study was to describe stress, strain, and coping across institution types for inpatient registered nurses (n= 694), and to identify the influence of age on these findings …",https://europepmc.org/abstract/med/12690256,103,5,"https://scholar.google.com/scholar?q=related:4F0KHRO1tj0J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The 'boomer'sonar source for seismic profiling,"HE Edgerton, GG Hayward - Journal of Geophysical Research, 1964 - Wiley Online Library","The boomer, an electromagnetically driven sound source for seismic profiling, consists of a triggered capacitor‐bank that discharges through a flat coil or coils. Eddy currents are induced in aluminum plates that are held against the coil by heavy springs or rubber …",https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/JZ069i014p03033,41,3,"https://scholar.google.com/scholar?q=related:7u_ybwat_yoJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Voices of older baby boomer students: Supporting their transitions back into college,"JL Schaefer - Educational Gerontology, 2009 - Taylor & Francis","The success of older adult students seeking higher education degrees depends, in part, upon fulfillment of critical support needs. This phenomenological study explored the experiences of nine contemporary Older Baby Boomer students (ages 50–62) who are …",https://www.tandfonline.com/doi/abs/10.1080/17419160903057967,76,3,"https://scholar.google.com/scholar?q=related:xj_ucJy_DoMJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Boomer retirement: headwinds for US equity markets?,"Z Liu, MM Spiegel - FRBSF Economic Letter, 2011 - naifanet.com","Historical data indicate a strong relationship between the age distribution of the US population and stock market performance. A key demographic trend is the aging of the baby boom generation. As they reach retirement age, they are likely to shift from buying stocks to …",http://naifanet.com/050668/Boomer%20Retirements%20headwinds%20for%20equities.pdf,41,12,"https://scholar.google.com/scholar?q=related:A3loysM6rpgJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"BOOMER, a simulation and modeling program for pharmacokinetic and pharmacodynamic data analysis","DWA Bourne - Computer methods and programs in biomedicine, 1989 - Elsevier","BOOMER is an improved version of an earlier non-linear regression program, MULTI-FORTE. Rather than the user writing a FORTRAN subroutine, models are defined by means of the parameters which make up the model. Models based on differential equations are …",https://www.sciencedirect.com/science/article/pii/0169260789901296,55,5,"https://scholar.google.com/scholar?q=related:5x0rJYs1J_IJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Determinants of risk tolerance in the baby boomer cohort,"J Gilliam, S Chatterjee, D Zhu - Journal of Business & Economics …, 2010 - papers.ssrn.com","Abstract Using data from 26,759 respondents, this study examined the differences in financial risk tolerance among leading baby boomers and trailing baby boomers. The study also investigated differences between these two sub-cohorts in perceived risk tolerance and …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1568341,48,4,"https://scholar.google.com/scholar?q=related:2t_efE3zLyMJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The socially aware baby boomer: Gaining a lifestyle-based understanding of the new wave of ecotourists,"M Cleaver, TE Muller - Journal of Sustainable Tourism, 2002 - Taylor & Francis","As the Baby Boomers approach retirement, tourism, in general, is expected to increase among members of this generation. This increase in travel is expected to be accompanied by a surge of interest in ecotourism—resulting in a new wave of ecotourists, over the next …",https://www.tandfonline.com/doi/abs/10.1080/09669580208667161,73,3,"https://scholar.google.com/scholar?q=related:O_8awJgTph0J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
When grandchildren grow up: Role transition and family solidarity among baby boomer grandchildren and their grandparents,"TL Mills - Journal of Aging Studies, 1999 - Elsevier","Research on grandchild-grandparent relationships has largely focused on juvenile and adolescent grandchildren. However, this research examines the connection between adolescent-to-adult role transition by grandchildren, and perceptions of intergenerational …",https://www.sciencedirect.com/science/article/pii/S0890406599800528,76,4,"https://scholar.google.com/scholar?q=related:2uQyFNMSEIEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Recruiting and engaging baby boomer volunteers,"K Culp - Journal of Extension, 2009 - researchgate.net","Baby Boomers are different from other generations of volunteers. Boomers have different view of both retirement and volunteering than previous generations. To successfully engage Baby Boomers volunteers in Extension programs, several adjustments will be needed …",https://www.researchgate.net/profile/Ken_Culp/publication/228900263_Recruiting_and_engaging_baby_boomer_volunteers/links/00b49523204f97bc12000000/Recruiting-and-engaging-baby-boomer-volunteers.pdf,29,4,"https://scholar.google.com/scholar?q=related:8nwkOsPLxhQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[HTML][HTML] Retinopathy of prematurity: late complications in the baby boomer generation (1946–1964),"BT Smith, WS Tasman - Transactions of the American …, 2005 - ncbi.nlm.nih.gov",Purpose To report the natural history and late complications of retinopathy of prematurity (ROP) in members of the baby boomer generation (1946–1964). Methods Retrospective observational series of 86 eyes from 47 adult ROP patients (aged 45 to 56 years) who did …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1447576/,52,5,"https://scholar.google.com/scholar?q=related:QytNKQEs4KgJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The mature imagination and consumption strategies,"S Biggs, C Phillipson, R Leach… - International Journal of …, 2007 - journal.ep.liu.se","… Age discrepancy scores for the baby boomer cohort indicated some inter- esting trends in theway that boomers thought about their identity and its relation to adult ageing (although not allof the possible 150 respondents answered the discrepancy questions, with drop outs …",https://journal.ep.liu.se/IJAL/article/view/1318,76,9,"https://scholar.google.com/scholar?q=related:GFL8qb9b9_EJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Boomer generativity: An organizational resource,"TJ Calo - Public Personnel Management, 2007 - journals.sagepub.com","That the world's population is aging rapidly is indisputable. There is considerable debate, however, on the impact that this shift will have on individuals, on organizations and on societies, both locally and globally. There is even greater debate over what the most …",https://journals.sagepub.com/doi/abs/10.1177/009102600703600407,27,5,"https://scholar.google.com/scholar?q=related:bj-KJK8OEWkJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Attaching means for load binder or boomer,"JO Yeager - US Patent 2,824,717, 1958 - Google Patents","By way of explanation, it might be stated that when a load binder or boomer is attached to a chain around a cargo which is solid, such as pipes, lumber, etc., and the lever is pressed downwardly, the load binder fre quently is too tight or too loose. If the chain of the load …",https://patents.google.com/patent/US2824717A/en,26,2,"https://scholar.google.com/scholar?q=related:T5KjC82_w1IJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Baby boomer drug users: Career phases, social control, and social learning theory","MW Boeri, CE Sterk, KW Elifson - Sociological Inquiry, 2006 - Wiley Online Library","Social control and self‐control theories have influenced social research and public policy regarding drug use and abuse. While some researchers propose an integration of these theories, others argue that these theories are incompatible. Earlier models of drug use …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-682X.2006.00154.x,49,5,"https://scholar.google.com/scholar?q=related:sshiM667_tcJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The new urban demographics: Race space & boomer aging,"WH Frey - The Brookings Review, 2000 - JSTOR","Beyond the"" White-Black, City-Suburb"" Typology For much of the postwar period, discussions of race and space in urban America revolved around black migration to central cities and"" white flight"" to the suburbs. The new immigration that is infusing many urban …",https://www.jstor.org/stable/20080921,33,3,"https://scholar.google.com/scholar?q=related:ly6UxtngvYMJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[HTML][HTML] Replacing the projected retiring baby boomer nursing cohort 2001–2026,"DJ Schofield - BMC Health Services Research, 2007 - bmchealthservres.biomedcentral …","The nursing population in Australia is ageing. However, there is little information on the rate and timing of nursing retirement. Specifically designed health workforce extracts from the Australian Bureau of Statistics (ABS) censuses from 1986 to 2001 are used to estimate the …",https://bmchealthservres.biomedcentral.com/articles/10.1186/1472-6963-7-87,39,12,"https://scholar.google.com/scholar?q=related:1sF6Al_iUm0J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Boomer boom for hospitality: Opportunities and challenges,"M Chris Paxson - Journal of Hospitality Marketing & Management, 2009 - Taylor & Francis",The first baby boomers in the United States turned 60 in 2006. Many have predicted booming markets for a variety of products and services and the potential for “gray” markets and “silver” industries. This growing segment of the population will demand new services …,https://www.tandfonline.com/doi/abs/10.1080/19368620801989360,29,2,"https://scholar.google.com/scholar?q=related:GH3OrJVOZ14J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The baby boomer effect: changing patterns of substance abuse among adults ages 55 and older,"DF Duncan, T Nicholson, JB White… - Journal of Aging & …, 2010 - Taylor & Francis","Between now and 2030, the number of adults aged 65 and older in the United States will almost double, from around 37 million to more than 70 million, an increase from 12% of the US population to almost 20%. It was long held that, with only a few isolated exceptions …",https://www.tandfonline.com/doi/abs/10.1080/08959420.2010.485511,56,3,"https://scholar.google.com/scholar?q=related:hhRTNnq4B-QJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[CITATION][C] When we were young: A baby boomer yearbook,RL Kleinfelder - 1993 - Prentice Hall,,,17,,"https://scholar.google.com/scholar?q=related:iytmFfI1C-MJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Stories appreciating both sides of the generation gap: baby boomer and Generation X nurses working together,"EE Sudheimer - Nursing Forum, 2009 - Wiley Online Library","With nurses from the baby boomer and Generation X providing the majority of bedside nursing care, multigenerational differences are present in the workplace. The key to improved job satisfaction is the development of understanding and talking through …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1744-6198.2009.00127.x,44,6,"https://scholar.google.com/scholar?q=related:6wV8OrQ6L-UJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Towards high‐resolution 3D marine seismic surveying using Boomer sources,"C Müller, B Milkereit, T Bohlen… - Geophysical …, 2002 - Wiley Online Library","The use of Boomer sources for 3D seismic imaging of shallow marine structures was investigated in a feasibility study. Boomers show sufficient stability to be used in multichannel seismic surveys. The acquisition of a high‐frequency, densely sampled …",https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2478.2002.00335.x,30,8,"https://scholar.google.com/scholar?q=related:8IjnSQlwWFsJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The Story of Boomer: Pollution and the Common Law,"DA Farber - Ecology LQ, 2005 - HeinOnline","Boomer v. Atlantic Cement Co. 1 has become an established part of the legal canon. It looms large, not just in environmental law, but also in property, remedies, and torts. Its lasting fame is reflected in a law review symposium on the case some twenty years after the …",https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/eclawq32&section=11,34,11,"https://scholar.google.com/scholar?q=related:yWlK6KbwRpsJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The embodied spirituality of the post-boomer Generations,"RW Flory, DE Miller - A sociology of spirituality, 2007 - books.google.com","Methods We began this project with some of the basic findings of our GenX Religion book as a starting place (Flory and Miller 2000) in particular such ideas as the experiential dimension of GenX religious activities, their entrepreneurial skills at establishing new and …",https://books.google.com/books?hl=en&lr=&id=XA7ACwAAQBAJ&oi=fnd&pg=PA201&dq=boomer&ots=f0Bh2_deTk&sig=KNLn4gpmCxRyti3pITDm2NnLEm0,27,4,"https://scholar.google.com/scholar?q=related:zerHf3haKFQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[CITATION][C] The Boomer Century 1946-2046: How America's Most Influential Generation Changed Everything,R Croker - 2009 - Grand Central Publishing,,,39,2,"https://scholar.google.com/scholar?q=related:b1Nqq0TBFuEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] Boomers gen-xers millennials,"D Oblinger - EDUCAUSE review, 2003 - naspa.org","What do we know about today's “new students”? Perhaps most obviously, we know that these students have been heavily influenced by information technology. The “new” student may be a seventeen-year-old high school student (a “Millennial”) who uses instant …",https://www.naspa.org/images/uploads/main/OblingerD_2003)_Boomers_gen-Xers_and_millennials_Understanding_the_new_students.pdf,1651,9,"https://scholar.google.com/scholar?q=related:vrkyU_lmntEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Geometry and genesis of glacigenic debris flows on the North Sea Fan: TOBI imagery and deep-tow boomer evidence,"A Nygård, HP Sejrup, H Haflidason, EL King - Marine Geology, 2002 - Elsevier",Acoustic data have been used to study the upper sequence of glacigenic debris flows (GDFs) deposited during the last glacial maximum on the North Sea Fan. The presumed GDF release area at the shelf break (450 m water depth) exhibits a sequence up to 90 m …,https://www.sciencedirect.com/science/article/pii/S0025322702002736,53,6,"https://scholar.google.com/scholar?q=related:MO2VC312A2IJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[CITATION][C] Surviving the baby boomer exodus: Capturing knowledge for Gen X and Gen Y employees,"K Ball, G Gotsill - 2011 - Nelson Education",,,47,,"https://scholar.google.com/scholar?q=related:Jo0rIY-sQ6sJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
"Relational exchange, contract law, and the boomer problem","VP Goldberg - Zeitschrift für die gesamte Staatswissenschaft/Journal …, 1985 - JSTOR","Elsewhere (Goldberg [1980]) I have presented an overview on the theory of relational exchange and some of its broader implications. Rather than re-hearse that material here, I shall confine my focus to a few questions of contract law doctrine1. The starting point is the …",https://www.jstor.org/stable/40750805,22,,"https://scholar.google.com/scholar?q=related:nqLeAhuuPwEJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Boomer liberalism,"E Lott - Transition, 1998 - JSTOR",""" I think what I need,"" Bob Dylan sang on Time Out of Mind (I997),"" might be a full-length leather coat."" How else to make it through the torpor of middle age? Then a sardonic rhyming afterthought:"" Somebody asks me/if I'm registered to vote."" Such bleak clarity is …",https://www.jstor.org/stable/2903177,15,2,"https://scholar.google.com/scholar?q=related:_0fSN3zy8hkJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Beyond boomer meets nextgen: Examining mentoring practices among Pennsylvania academic librarians,"L Neyer, K Yelinek - The Journal of Academic Librarianship, 2011 - Elsevier","A survey to assess mentoring experiences and attitudes towards work of Pennsylvania academic librarians was conducted in September 2006 with questions concerning mentoring experiences, work experiences, and attitudes towards work. Results of the survey …",https://www.sciencedirect.com/science/article/pii/S0099133311000279,29,5,"https://scholar.google.com/scholar?q=related:Om9-oYv_D7MJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Time for my life now: Early boomer women's anticipation of volunteering in retirement,"PM Seaman - The Gerontologist, 2012 - academic.oup.com",Purpose: This study explored to what extent early Boomer women who work for pay will be interested in and committed to formal volunteering during retirement. Method: Data for this hermeneutic study were gathered through 2 in-depth conversational interviews of 19 English …,https://academic.oup.com/gerontologist/article-abstract/52/2/245/616693,31,9,"https://scholar.google.com/scholar?q=related:mQ9fyrro0XQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[BOOK][B] Baby Boomer rock'n'roll fans: The music never ends,JA Kotarba - 2013 - books.google.com,"Rock'n'roll infuses the everyday life of the American adult, but for the first, complete generation of rock'n'roll fans--baby boomers born between 1946 and 1964--it holds a special kind of value, playing a social personality-defining role that is unique to this group …",https://books.google.com/books?hl=en&lr=&id=YpEEpjQKdqUC&oi=fnd&pg=PP5&dq=boomer&ots=yGWyDdrq5h&sig=xK5lRXBNq1VRWidSsNApTvdaLKw,35,3,"https://scholar.google.com/scholar?q=related:H3ZBfIJgk_oJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[PDF][PDF] BOOMNET: Capturing the baby boomer volunteers,"J Esmond - Perth: Team Consultants, 2001 - civicengagement.org","Page 1. 'BOOMNET' Capturing the Baby Boomer Volunteers A Research Project into BabyBoomers and Volunteering Conducted by TEAM CONSULTANTS Principal Consultant - JudyEsmond, Ph.D. MTD – Making The Difference and TEAM CONSULTANTS PO Box 402 Victoria …",http://www.civicengagement.org/agingsociety/links/boomnet.pdf,18,,"https://scholar.google.com/scholar?q=related:yrouoqQZ2qQJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
How will baby boomer retirements affect teacher labor markets?,"D Aaronson, K Meckel - Economic Perspectives, 2009 - papers.ssrn.com","The authors estimate teacher demand and supply through 2020 to gauge the impact of baby boomer retirements on the demand for new teachers. They find that the projected demand will accelerate through at least 2020, and a good portion of this increase will be due to …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1523240,28,10,"https://scholar.google.com/scholar?q=related:PkxBqyncOFYJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
Baby boomer rock'n'roll fans and the becoming of self,"JA Kotarba - Postmodern existential sociology, 2002 - books.google.com","Lay and professional observers alike have long noted the significance of rock'n'roll music to teenagers. As Simon Frith noted in his famous sociological text, Sound Effects (1981), rock'n'roll has been fundamental to the experience of growing up ever since the end of …",https://books.google.com/books?hl=en&lr=&id=B_1HaNS017QC&oi=fnd&pg=PA103&dq=boomer&ots=5WgTup7o_V&sig=x540ZaoE27v6OxjxcriLSzVVY1w,27,,"https://scholar.google.com/scholar?q=related:ynuNLJHvu3sJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The Neglected Defense of Undue Hardship (and the Doctrinal Train Wreck in Boomer v. Atlantic Cement),"D Laycock - Journal of Tort Law, 2011 - degruyter.com","Economically minded legal scholars have devoted much attention to the comparative costs of property rules and liability rules, but little attention to the legal rule that most squarely addresses that choice—the defense of undue hardship. In general, a court will refuse an …",https://www.degruyter.com/view/j/jtl.2011.4.issue-3/1932-9148.1123/1932-9148.1123.xml,40,3,"https://scholar.google.com/scholar?q=related:o3PLBCNWSi8J:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
[BOOK][B] Deep-tow boomer survey on the Antarctic Peninsula Pacific margin: an investigation of the morphology and acoustic characteristics of the late Quaternary …,"LE Vanneste, RD Larter - 1995 - nora.nerc.ac.uk","Vanneste, Lieve E.; Larter, Robert D. ORCID: https://orcid.org/0000-0002-8414-7389. 1995 Deep-Tow boomer survey on the Antarctic Peninsula Pacific margin: an investigation of the morphology and acoustic characteristics of the Late Quaternary sedimentary deposits on the outer continental …",http://nora.nerc.ac.uk/id/eprint/515877/,63,2,"https://scholar.google.com/scholar?q=related:0a995-2f_DsJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
The Impact of Baby Boomer Retirements on Teacher Labor Markets. Chicago Fed Letter. Number 254.,"D Aaronson, K Meckel - Federal Reserve Bank of Chicago, 2008 - ERIC",One important consequence of the ongoing baby boom retirement is an unprecedented loss in work experience. An aging work force has caused particular unease in elementary and secondary education; some school districts envision repercussions from increases in …,https://eric.ed.gov/?id=ED505644,33,7,"https://scholar.google.com/scholar?q=related:YnODfU6YfnkJ:scholar.google.com/&scioq=boomer&hl=en&as_sdt=0,5"
